date,ticker,open_price,close_price,high_price,low_price,volume_traded,market_cap,pe_ratio,dividend_yield,eps,52_week_high,52_week_low,sector
6/1/2025,SLH,34.92,34.53,35.22,34.38,2966611,57381363839,29.63,2.85,1.17,39.39,28.44,Industrials
6/1/2025,WGB,206.5,208.45,210.51,205.12,1658738,52747068434,13.03,2.73,16,227.38,136.79,Energy
6/1/2025,ZIN,125.1,124.03,127.4,121.77,10709898,55969486767,29.19,2.64,4.25,138.35,100.69,Healthcare
6/1/2025,YPY,260.55,265.28,269.99,256.64,14012358,79640893981,19.92,1.29,13.32,317.57,178.26,Industrials
6/1/2025,VKD,182.43,186.89,189.4,179.02,14758143,72714371067,40.18,1.17,4.65,243.54,165.53,Technology
6/1/2025,PJO,71.47,71.2,72.79,71.07,5719915,85866943557,30.51,2.71,2.33,82.93,56.81,Consumer Staples
6/1/2025,MLK,202.91,202.21,205.94,200.25,750059,87762878424,27.13,1.14,7.45,242.53,142.52,Materials
6/1/2025,SFM,60.12,59.34,60.83,59.08,3053505,99860106810,25.47,2.4,2.33,68.11,52.66,Consumer Staples
6/1/2025,PSE,92.78,92.3,92.94,91.3,3260643,12913607294,14.65,0.58,6.3,105.7,70.31,Healthcare
6/1/2025,DJF,16.36,16.1,16.4,15.98,3084579,10178692908,24.28,0.68,0.66,21.28,15.22,Financials
6/1/2025,GPH,88.06,90.51,90.64,86.96,14070514,21792396949,31.58,2.18,2.87,97.72,71.29,Materials
6/1/2025,FUQ,71.49,70.21,72.5,69.94,14402936,41693992541,23.53,3.28,2.98,84.66,52.5,Consumer Discretionary
6/1/2025,AOY,196.83,193.54,197.92,192.94,8501424,17319135217,13.51,3.2,14.33,217.51,139.1,Materials
6/1/2025,PTR,103.57,105.01,107,103.46,3012050,19761151778,27.73,3.39,3.79,127.27,85.7,Real Estate
6/1/2025,TTA,214.55,210.17,217.01,208.3,6009493,16814043843,25.93,2.84,8.11,248.22,169.16,Financials
6/1/2025,XAB,158.69,160.57,162.35,158,4324947,12627584864,23.54,0.42,6.82,172.46,141.53,Technology
6/1/2025,IMD,86.4,87.92,89.04,85.32,3446743,41137925072,34.32,3.22,2.56,116.15,59.56,Consumer Staples
6/1/2025,HXJ,156.26,160.38,162.84,153.6,14091615,13325221594,26.66,1.7,6.02,194.36,123.34,Materials
6/1/2025,RLR,158.79,156.35,161.9,154.98,12641391,33926474725,21.68,3.55,7.21,204.6,147.93,Consumer Staples
6/1/2025,FBR,96.35,93.64,97.98,92.56,9364658,37073727464,17.15,2.96,5.46,111.6,76.13,Communication Services
6/1/2025,VBD,137.37,133.32,137.95,132.84,10407426,57140817891,34.43,1.85,3.87,168.46,89.65,Communication Services
6/1/2025,KUN,100.5,99.5,100.93,98.41,10245776,97805702768,20.98,1.25,4.74,127.85,89.01,Industrials
6/1/2025,JGL,48.59,47.57,49.04,46.78,12434018,32827628858,8.69,2.92,5.47,62.87,31.37,Energy
6/1/2025,CTK,284.9,290.72,293,283.19,1441087,73965258205,22.82,3.97,12.74,342.54,254.54,Utilities
6/1/2025,YGL,209.69,208.23,210.64,204.76,14674610,11030037502,14.44,0.63,14.42,266.02,158.29,Healthcare
